ticker,name,country,sector,asset_class
AAPL,Apple,United States,Technology,Equity
MSFT,Microsoft,United States,Technology,Equity
NVDA,Nvidia,United States,Technology,Equity
AMZN,Amazon,United States,Consumer,Equity
GOOGL,Alphabet,United States,Communication,Equity
META,Meta Platforms,United States,Communication,Equity
TSLA,Tesla,United States,Consumer,Equity
BRK-B,Berkshire Hathaway,United States,Financials,Equity
JPM,JPMorgan Chase,United States,Financials,Equity
V,Visa,United States,Financials,Equity
MA,Mastercard,United States,Financials,Equity
JNJ,Johnson & Johnson,United States,Healthcare,Equity
UNH,UnitedHealth,United States,Healthcare,Equity
LLY,Eli Lilly,United States,Healthcare,Equity
XOM,Exxon Mobil,United States,Energy,Equity
CVX,Chevron,United States,Energy,Equity
WMT,Walmart,United States,Consumer,Equity
PG,Procter & Gamble,United States,Consumer,Equity
KO,Coca-Cola,United States,Consumer,Equity
PEP,PepsiCo,United States,Consumer,Equity
HD,Home Depot,United States,Consumer,Equity
COST,Costco,United States,Consumer,Equity
MCD,McDonald's,United States,Consumer,Equity
NKE,Nike,United States,Consumer,Equity
DIS,Walt Disney,United States,Communication,Equity
NFLX,Netflix,United States,Communication,Equity
AMD,AMD,United States,Technology,Equity
INTC,Intel,United States,Technology,Equity
CSCO,Cisco,United States,Technology,Equity
ORCL,Oracle,United States,Technology,Equity
CRM,Salesforce,United States,Technology,Equity
ADBE,Adobe,United States,Technology,Equity
AVGO,Broadcom,United States,Technology,Equity
QCOM,Qualcomm,United States,Technology,Equity
TXN,Texas Instruments,United States,Technology,Equity
PFE,Pfizer,United States,Healthcare,Equity
MRK,Merck,United States,Healthcare,Equity
ABBV,AbbVie,United States,Healthcare,Equity
BAC,Bank of America,United States,Financials,Equity
GS,Goldman Sachs,United States,Financials,Equity
MS,Morgan Stanley,United States,Financials,Equity
CAT,Caterpillar,United States,Industrials,Equity
BA,Boeing,United States,Industrials,Equity
GE,GE Aerospace,United States,Industrials,Equity
HON,Honeywell,United States,Industrials,Equity
UPS,UPS,United States,Industrials,Equity
T,AT&T,United States,Communication,Equity
VZ,Verizon,United States,Communication,Equity
NEE,NextEra Energy,United States,Utilities,Equity
LIN,Linde,United States,Materials,Equity
VOLV-B.ST,Volvo,Sweden,Industrials,Equity
ERIC-B.ST,Ericsson,Sweden,Technology,Equity
INVE-B.ST,Investor AB,Sweden,Financials,Equity
HM-B.ST,H&M,Sweden,Consumer,Equity
SEB-A.ST,SEB,Sweden,Financials,Equity
SWED-A.ST,Swedbank,Sweden,Financials,Equity
SHB-A.ST,Handelsbanken,Sweden,Financials,Equity
ATCO-A.ST,Atlas Copco,Sweden,Industrials,Equity
ASSA-B.ST,Assa Abloy,Sweden,Industrials,Equity
SAND.ST,Sandvik,Sweden,Industrials,Equity
SKF-B.ST,SKF,Sweden,Industrials,Equity
ALFA.ST,Alfa Laval,Sweden,Industrials,Equity
TELIA.ST,Telia,Sweden,Communication,Equity
EVO.ST,Evolution,Sweden,Consumer,Equity
EQT.ST,EQT,Sweden,Financials,Equity
ESSITY-B.ST,Essity,Sweden,Consumer,Equity
SCA-B.ST,SCA,Sweden,Materials,Equity
BOL.ST,Boliden,Sweden,Materials,Equity
HEXA-B.ST,Hexagon,Sweden,Technology,Equity
EPI-A.ST,Epiroc,Sweden,Industrials,Equity
SINCH.ST,Sinch,Sweden,Technology,Equity
NIBE-B.ST,NIBE,Sweden,Industrials,Equity
ELUX-B.ST,Electrolux,Sweden,Consumer,Equity
GETI-B.ST,Getinge,Sweden,Healthcare,Equity
AZN.ST,AstraZeneca (Stockholm),Sweden,Healthcare,Equity
KINV-B.ST,Kinnevik,Sweden,Financials,Equity
SAAB-B.ST,Saab,Sweden,Industrials,Equity
TEL2-B.ST,Tele2,Sweden,Communication,Equity
BALD-B.ST,Balder,Sweden,Real Estate,Equity
CAST.ST,Castellum,Sweden,Real Estate,Equity
FABG.ST,Fabege,Sweden,Real Estate,Equity
HUSQ-B.ST,Husqvarna,Sweden,Consumer,Equity
TREL-B.ST,Trelleborg,Sweden,Industrials,Equity
LIFCO-B.ST,Lifco,Sweden,Industrials,Equity
AAK.ST,AAK,Sweden,Consumer,Equity
NOVO-B.CO,Novo Nordisk,Denmark,Healthcare,Equity
MAERSK-B.CO,Maersk,Denmark,Industrials,Equity
DSV.CO,DSV,Denmark,Industrials,Equity
ORSTED.CO,Orsted,Denmark,Utilities,Equity
CARL-B.CO,Carlsberg,Denmark,Consumer,Equity
